NmPratoSopa;NmPratoSopaEN;NmPratoCarne;NmPratoCarneEN;NmPratoPeixe;NmPratoPeixeEN;NmPratoVegetariano;NmPratoVegetarianoEN;NmPratoSobremesa;NmPratoSobremesaEN;Observacoes;DescricaoCarne;DescricaoPeixe;DescricaoVegetariano;DescricaoEmenta;DescricaoEmentaPT;IDPratoSopaFK;IDPratoCarneFK;IDPratoPeixeFK;IDPratoVegetarianoFK;IDPratoSobremesaFK;ReservaAte;ReservasAtePenalizacaoValor;CancelamentoAte;CancelamentoAtePenalizacaoValor;Data;IDEmentaData;DataRefeicao;IDCantinaFK;IDTipoRefeicaoFK;DataRefeicaoOnly;Preco;NmCantina;IDPoloFK;NmPolo;NmTipoRefeicao;NmTipoRefeicaoEN;SopaPTEN;CarnePTEN;PeixePTEN;SobremesaPTEN;VegetarianoPTEN;ImprimePrecos
Espinafres;Spinach soup;Costeletas de porco;Grilled pork chops;Peixe espada grelhado com batata;Grilled swordfish with potatoes;;;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;;Espinafres (Spinach soup)Costeletas de porco (Grilled pork chops)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Espinafres (Spinach soup)Peixe espada grelhado com batata (Grilled swordfish with potatoes)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Espinafres (Spinach soup) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Espinafres (Spinach soup)Costeletas de porco (Grilled pork chops)Peixe espada grelhado com batata (Grilled swordfish with potatoes) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Espinafres | Costeletas de porco | Peixe espada grelhado com batata |  | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;79;35;530;;18;02/05/2023;0,5;02/05/2023;0,5;02/05/2023;913;02/05/2023;4;1;2023-05-02;0;Churrasqueira;1;IPG - Campus;Almoço;Lunch;Espinafres | Spinach soup;Costeletas de porco | Grilled pork chops;Peixe espada grelhado com batata | Grilled swordfish with potatoes;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€; | ;0
Creme de legumes;Vegetable cream;Aba de vitela;Grilled veal tab;Corvina;Grilled croaker;;;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;;Creme de legumes (Vegetable cream)Aba de vitela (Grilled veal tab)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Creme de legumes (Vegetable cream)Corvina (Grilled croaker)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Creme de legumes (Vegetable cream) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Creme de legumes (Vegetable cream)Aba de vitela (Grilled veal tab)Corvina (Grilled croaker) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Creme de legumes | Aba de vitela | Corvina |  | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;194;98;198;;18;03/05/2023;0,5;03/05/2023;0,5;03/05/2023;916;03/05/2023;4;1;2023-05-03;0;Churrasqueira;1;IPG - Campus;Almoço;Lunch;Creme de legumes | Vegetable cream;Aba de vitela | Grilled veal tab;Corvina | Grilled croaker;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€; | ;0
;;;;Feriado;Holiday;;;;;;() () ();()Feriado (Holiday) ();() () ();() ()Feriado (Holiday) () ();|  | Feriado |  | ;;;387;;;01/05/2023;0,5;01/05/2023;0,5;01/05/2023;917;01/05/2023;4;1;2023-05-01;0;Churrasqueira;1;IPG - Campus;Almoço;Lunch; | ; | ;Feriado | Holiday; | ; | ;0
Canja de galinha;Chicken broth;Entrecosto;Grilled ribs;Espetadas de peixe;Grilled fish skeweres;;;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;;Canja de galinha (Chicken broth)Entrecosto (Grilled ribs)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Canja de galinha (Chicken broth)Espetadas de peixe (Grilled fish skeweres)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Canja de galinha (Chicken broth) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Canja de galinha (Chicken broth)Entrecosto (Grilled ribs)Espetadas de peixe (Grilled fish skeweres) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Canja de galinha | Entrecosto | Espetadas de peixe |  | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;114;86;350;;18;05/05/2023;0,5;05/05/2023;0,5;05/05/2023;919;05/05/2023;4;1;2023-05-05;0;Churrasqueira;1;IPG - Campus;Almoço;Lunch;Canja de galinha | Chicken broth;Entrecosto | Grilled ribs;Espetadas de peixe | Grilled fish skeweres;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€; | ;0
Caldo verde;Soup of shredded kale in potato broth;Espetadas de peru;Grilled turkey skewers;Dourada;Golden fish;;;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;;Caldo verde (Soup of shredded kale in potato broth)Espetadas de peru (Grilled turkey skewers)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Caldo verde (Soup of shredded kale in potato broth)Dourada (Golden fish)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Caldo verde (Soup of shredded kale in potato broth) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Caldo verde (Soup of shredded kale in potato broth)Espetadas de peru (Grilled turkey skewers)Dourada (Golden fish) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Caldo verde | Espetadas de peru | Dourada |  | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;138;110;294;;18;04/05/2023;0,5;04/05/2023;0,5;04/05/2023;920;04/05/2023;4;1;2023-05-04;0;Churrasqueira;1;IPG - Campus;Almoço;Lunch;Caldo verde | Soup of shredded kale in potato broth;Espetadas de peru | Grilled turkey skewers;Dourada | Golden fish;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€; | ;0
Alho francês;French garlic soup;Bife de novilho;Grilled veal steak;Perca grelhada;Grilled perch;;;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;;Alho francês (French garlic soup)Bife de novilho (Grilled veal steak)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Alho francês (French garlic soup)Perca grelhada (Grilled perch)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Alho francês (French garlic soup) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Alho francês (French garlic soup)Bife de novilho (Grilled veal steak)Perca grelhada (Grilled perch) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Alho francês | Bife de novilho | Perca grelhada |  | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;158;54;131;;18;08/05/2023;0,5;08/05/2023;0,5;08/05/2023;933;08/05/2023;4;1;2023-05-08;0;Churrasqueira;1;IPG - Campus;Almoço;Lunch;Alho francês | French garlic soup;Bife de novilho | Grilled veal steak;Perca grelhada | Grilled perch;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€; | ;0
Abóbora c/ lombarda;Pumpkin soup with savoy cabbage;Grelhada mista;Grilled mixed meat;Carapau grelhado com molho verde;Grilled mackerel with green sauce;;;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;;Abóbora c/ lombarda (Pumpkin soup with savoy cabbage)Grelhada mista (Grilled mixed meat)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Abóbora c/ lombarda (Pumpkin soup with savoy cabbage)Carapau grelhado com molho verde (Grilled mackerel with green sauce)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Abóbora c/ lombarda (Pumpkin soup with savoy cabbage) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Abóbora c/ lombarda (Pumpkin soup with savoy cabbage)Grelhada mista (Grilled mixed meat)Carapau grelhado com molho verde (Grilled mackerel with green sauce) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Abóbora c/ lombarda | Grelhada mista | Carapau grelhado com molho verde |  | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;236;184;179;;18;09/05/2023;0,5;09/05/2023;0,5;09/05/2023;934;09/05/2023;4;1;2023-05-09;0;Churrasqueira;1;IPG - Campus;Almoço;Lunch;Abóbora c/ lombarda | Pumpkin soup with savoy cabbage;Grelhada mista | Grilled mixed meat;Carapau grelhado com molho verde | Grilled mackerel with green sauce;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€; | ;0
Feijão branco com hortaliça;White bean soup with vegetables;Hambúrguer com ovo estrelado e batata frita;Burger with fried egg and chips;Bife de atum;Grilled tuna steak;;;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;;Feijão branco com hortaliça (White bean soup with vegetables)Hambúrguer com ovo estrelado e batata frita (Burger with fried egg and chips)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Feijão branco com hortaliça (White bean soup with vegetables)Bife de atum (Grilled tuna steak)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Feijão branco com hortaliça (White bean soup with vegetables) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Feijão branco com hortaliça (White bean soup with vegetables)Hambúrguer com ovo estrelado e batata frita (Burger with fried egg and chips)Bife de atum (Grilled tuna steak) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Feijão branco com hortaliça | Hambúrguer com ovo estrelado e batata frita | Bife de atum |  | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;102;24;36;;18;10/05/2023;0,5;10/05/2023;0,5;10/05/2023;935;10/05/2023;4;1;2023-05-10;0;Churrasqueira;1;IPG - Campus;Almoço;Lunch;Feijão branco com hortaliça | White bean soup with vegetables;Hambúrguer com ovo estrelado e batata frita | Burger with fried egg and chips;Bife de atum | Grilled tuna steak;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€; | ;0
Hortaliça;Vegetables soup;Bife de peru;Turkey steak;Robalo;Grilled sea bass;;;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;;Hortaliça (Vegetables soup)Bife de peru (Turkey steak)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Hortaliça (Vegetables soup)Robalo (Grilled sea bass)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Hortaliça (Vegetables soup) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Hortaliça (Vegetables soup)Bife de peru (Turkey steak)Robalo (Grilled sea bass) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Hortaliça | Bife de peru | Robalo |  | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;11;161;55;;18;12/05/2023;0,5;12/05/2023;0,5;12/05/2023;936;12/05/2023;4;1;2023-05-12;0;Churrasqueira;1;IPG - Campus;Almoço;Lunch;Hortaliça | Vegetables soup;Bife de peru | Turkey steak;Robalo | Grilled sea bass;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€; | ;0
Legumes;Vegetable soup;Espetadas mistas;Mixed meat kebab;Choupas;Grilled shanks;;;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;;Legumes (Vegetable soup)Espetadas mistas (Mixed meat kebab)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Legumes (Vegetable soup)Choupas (Grilled shanks)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Legumes (Vegetable soup) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Legumes (Vegetable soup)Espetadas mistas (Mixed meat kebab)Choupas (Grilled shanks) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Legumes | Espetadas mistas | Choupas |  | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;272;197;149;;18;11/05/2023;0,5;11/05/2023;0,5;11/05/2023;937;11/05/2023;4;1;2023-05-11;0;Churrasqueira;1;IPG - Campus;Almoço;Lunch;Legumes | Vegetable soup;Espetadas mistas | Mixed meat kebab;Choupas | Grilled shanks;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€; | ;0
Brócolos;Broccoli soup;Febras;Grilled pork steaks;Chocos;Grilled cuttlefish;;;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;;Brócolos (Broccoli soup)Febras (Grilled pork steaks)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Brócolos (Broccoli soup)Chocos (Grilled cuttlefish)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Brócolos (Broccoli soup) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Brócolos (Broccoli soup)Febras (Grilled pork steaks)Chocos (Grilled cuttlefish) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Brócolos | Febras | Chocos |  | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;129;148;99;;18;15/05/2023;0,5;15/05/2023;0,5;15/05/2023;963;15/05/2023;4;1;2023-05-15;0;Churrasqueira;1;IPG - Campus;Almoço;Lunch;Brócolos | Broccoli soup;Febras | Grilled pork steaks;Chocos | Grilled cuttlefish;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€; | ;0
Tomate;Tomato soup;Bife de frango;Grilled chicken steaks;Dourada;Golden fish;;;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;;Tomate (Tomato soup)Bife de frango (Grilled chicken steaks)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Tomate (Tomato soup)Dourada (Golden fish)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Tomate (Tomato soup) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Tomate (Tomato soup)Bife de frango (Grilled chicken steaks)Dourada (Golden fish) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Tomate | Bife de frango | Dourada |  | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;274;122;294;;18;19/05/2023;0,5;19/05/2023;0,5;19/05/2023;964;19/05/2023;4;1;2023-05-19;0;Churrasqueira;1;IPG - Campus;Almoço;Lunch;Tomate | Tomato soup;Bife de frango | Grilled chicken steaks;Dourada | Golden fish;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€; | ;0
Feijão verde;Green beans soup;Secretos;Grilled pork steak;Truta;Grilled trout;;;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;;Feijão verde (Green beans soup)Secretos (Grilled pork steak)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Feijão verde (Green beans soup)Truta (Grilled trout)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Feijão verde (Green beans soup) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Feijão verde (Green beans soup)Secretos (Grilled pork steak)Truta (Grilled trout) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Feijão verde | Secretos | Truta |  | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;23;585;137;;18;18/05/2023;0,5;18/05/2023;0,5;18/05/2023;965;18/05/2023;4;1;2023-05-18;0;Churrasqueira;1;IPG - Campus;Almoço;Lunch;Feijão verde | Green beans soup;Secretos | Grilled pork steak;Truta | Grilled trout;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€; | ;0
Espinafres com ovo;Spinach soup with egg;Entrecosto;Grilled ribs;Peixe espada grelhado com batata;Grilled swordfish with potatoes;;;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;;Espinafres com ovo (Spinach soup with egg)Entrecosto (Grilled ribs)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Espinafres com ovo (Spinach soup with egg)Peixe espada grelhado com batata (Grilled swordfish with potatoes)Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Espinafres com ovo (Spinach soup with egg) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Espinafres com ovo (Spinach soup with egg)Entrecosto (Grilled ribs)Peixe espada grelhado com batata (Grilled swordfish with potatoes) ()Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ (Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€);Espinafres com ovo | Entrecosto | Peixe espada grelhado com batata |  | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€;577;86;530;;18;17/05/2023;0,5;17/05/2023;0,5;17/05/2023;966;17/05/2023;4;1;2023-05-17;0;Churrasqueira;1;IPG - Campus;Almoço;Lunch;Espinafres com ovo | Spinach soup with egg;Entrecosto | Grilled ribs;Peixe espada grelhado com batata | Grilled swordfish with potatoes;Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€ | Fruta:0.50 €/doce:1.30 €/salada:0.50€/iogurte:0,40€/sopa: 0.75€; | ;0
